Left,Down,Right,Up
0.531441,0.590490,0.590490,0.531441
0.531441,0.000000,0.656100,0.590490
0.590490,0.729000,0.590490,0.656100
0.656100,0.000000,0.590490,0.590490
0.590490,0.656100,0.000000,0.531441
0.000000,0.000000,0.000000,0.000000
0.000000,0.810000,0.000000,0.656100
0.000000,0.000000,0.000000,0.000000
0.656100,0.000000,0.729000,0.590490
0.656100,0.810000,0.810000,0.000000
0.729000,0.900000,0.000000,0.729000
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.000000,0.810000,0.900000,0.729000
0.810000,0.900000,1.000000,0.810000
0.000000,0.000000,0.000000,0.000000
